item_url,ts,top_buy_avg,buy_count,top_sell_avg,sell_count,platform,weekly_volume_est
tactical_pump,2025-08-12T21:43:47Z,,0,2.0,18,pc,12
arcane_menticide_helmet,2025-08-12T21:43:48Z,,0,192.667,7,pc,10
arcane_aurora_helmet,2025-08-12T21:43:49Z,,0,200.0,10,pc,12
soma_prime_blueprint,2025-08-12T21:43:49Z,,0,5.667,23,pc,76
unleashed,2025-08-12T21:43:50Z,,0,4.667,9,pc,8
vasto_prime_barrel,2025-08-12T21:43:51Z,3.667,3,7.333,14,pc,120
arcane_chorus_helmet,2025-08-12T21:43:52Z,180.0,1,349.333,7,pc,9
vasto_prime_blueprint,2025-08-12T21:43:52Z,3.0,1,5.0,24,pc,94
entropy_flight,2025-08-12T21:43:53Z,,0,9.667,10,pc,7
saryn_prime_set,2025-08-12T21:43:54Z,79.333,13,90.0,48,pc,775
poppin_vert,2025-08-12T21:43:55Z,,0,16.667,7,pc,7
magus_repair,2025-08-12T21:43:56Z,42.5,2,9.0,19,pc,83
magus_glitch,2025-08-12T21:43:57Z,50.0,1,8.667,11,pc,25
perfect_balance,2025-08-12T21:43:58Z,30.0,1,57.667,7,pc,8
strain_consume,2025-08-12T21:43:58Z,5.0,1,10.0,22,pc,27
zaw_riven_mod_(veiled),2025-08-12T21:43:59Z,,0,2.0,17,pc,161
wolf_sledge_blueprint,2025-08-12T21:44:00Z,5.0,1,15.333,4,pc,15
magus_overload,2025-08-12T21:44:01Z,75.5,2,86.667,6,pc,7
molecular_fission,2025-08-12T21:44:01Z,20.0,1,9.333,29,pc,130
wolf_sledge_motor,2025-08-12T21:44:02Z,,0,15.0,9,pc,22
wild_frenzy,2025-08-12T21:44:03Z,,0,8.333,16,pc,19
napalm_grenades,2025-08-12T21:44:04Z,,0,10.667,19,pc,13
tipedo_prime_handle,2025-08-12T21:44:05Z,10.0,2,13.0,27,pc,301
stradavar_prime_set,2025-08-12T21:44:06Z,,0,27.0,39,pc,170
equinox_prime_blueprint,2025-08-12T21:44:07Z,8.0,1,10.0,22,pc,595
bronco_prime_barrel,2025-08-12T21:44:07Z,1.667,4,3.0,24,pc,230
war_hilt,2025-08-12T21:44:08Z,1.0,1,1.667,14,pc,19
nova_prime_systems_blueprint,2025-08-12T21:44:09Z,7.667,4,11.0,25,pc,343
frost_prime_blueprint,2025-08-12T21:44:10Z,33.667,6,45.333,17,pc,237
bronco_prime_blueprint,2025-08-12T21:44:11Z,,0,2.667,15,pc,69
astral_twilight,2025-08-12T21:44:12Z,,0,8.0,39,pc,290
burston_prime_receiver,2025-08-12T21:44:13Z,,0,2.333,13,pc,135
fang_prime_blade,2025-08-12T21:44:13Z,,0,2.333,18,pc,90
